i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
351,2133000000,3199000000,up,580696883263870,9026.92,13784.16,0
352,3199000000,2133000000,down,580697147656739,8628.73,12956.1,0
353,2133000000,3199000000,up,580697411177745,9906.17,14210.79,0
354,3199000000,2133000000,down,580697675871486,8294.58,12527.29,0
355,2133000000,3199000000,up,580697938905248,8951.55,13189.42,0
356,3199000000,2133000000,down,580698202576691,8268.11,12329.27,0
357,2133000000,3199000000,up,580698465445234,9605.49,13758.11,0
358,3199000000,2133000000,down,580698729683507,8297.46,12357.75,0
359,2133000000,3199000000,up,580698992586674,8871.74,13162.44,0
360,3199000000,2133000000,down,580699256247653,8565.88,12791.23,0
361,2133000000,3199000000,up,580699519590832,9154.63,13640.98,0
362,3199000000,2133000000,down,580699783716462,8539.99,12691.9,0
363,2133000000,3199000000,up,580700046951158,8975.97,13246.7,0
364,3199000000,2133000000,down,580700310757325,9274.22,13527.8,0
365,2133000000,3199000000,up,580700574825546,9041.12,13138.32,0
366,3199000000,2133000000,down,580700838547231,8262.93,12299.77,0
367,2133000000,3199000000,up,580701101420158,9054.6,13170.44,0
368,3199000000,2133000000,down,580701365097778,9195.94,13810.56,0
369,2133000000,3199000000,up,580701629508152,8813.44,13151.44,0
370,3199000000,2133000000,down,580701893211469,8547.64,12810.15,0
371,2133000000,3199000000,up,580702156549016,8765.34,13016.36,0
372,3199000000,2133000000,down,580702420161386,8656.79,12849.73,0
373,2133000000,3199000000,up,580702683562583,9053.03,13175.79,0
374,3199000000,2133000000,down,580702947317805,8717.56,13076.23,0
375,2133000000,3199000000,up,580703210982177,9683.03,13820.92,0
376,3199000000,2133000000,down,580703475369607,8593.82,12825.16,0
377,2133000000,3199000000,up,580703738756084,8891.39,13050.54,0
378,3199000000,2133000000,down,580704002357030,8573.46,12832.13,0
379,2133000000,3199000000,up,580704265764564,9552.27,13800.92,0
380,3199000000,2133000000,down,580704530114169,9308.55,13495.06,0
381,2133000000,3199000000,up,580704794136758,8715.36,12726.88,0
382,3199000000,2133000000,down,580705057436801,8775.33,13077.0,0
383,2133000000,3199000000,up,580705321087605,8828.99,12896.52,0
384,3199000000,2133000000,down,580705584527012,8458.61,12768.8,0
385,2133000000,3199000000,up,580705847819087,9636.88,13849.08,0
386,3199000000,2133000000,down,580706112238711,9234.86,13490.87,0
387,2133000000,3199000000,up,580706376247508,8698.2,12771.91,0
388,3199000000,2133000000,down,580706639531551,8585.37,12818.27,0
