i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
324,1020000000,612000000,down,580467514873727,5304.39,6979.05,0
325,612000000,1020000000,up,580467772384847,5005.02,6404.58,0
326,1020000000,612000000,down,580468029347186,5127.42,6651.33,0
327,612000000,1020000000,up,580468286630206,4752.73,6367.1,0
328,1020000000,612000000,down,580468543550304,5190.98,6564.07,0
329,612000000,1020000000,up,580468800672711,5031.01,6359.58,0
330,1020000000,612000000,down,580469057587273,5204.48,6829.71,0
331,612000000,1020000000,up,580469314910646,4701.37,6140.38,0
332,1020000000,612000000,down,580469571564594,4805.91,6163.51,0
333,612000000,1020000000,up,580469828234350,5243.97,6640.58,0
334,1020000000,612000000,down,580470085407255,4986.72,6371.55,0
335,612000000,1020000000,up,580470342317754,4800.31,6207.71,0
336,1020000000,612000000,down,580470599026615,4912.38,6285.09,0
337,612000000,1020000000,up,580470855852408,5275.17,6905.26,0
338,1020000000,612000000,down,580471113287112,5695.02,7581.18,0
339,612000000,1020000000,up,580471371446762,5020.35,6487.23,0
340,1020000000,612000000,down,580471628403726,4757.24,6093.24,0
341,612000000,1020000000,up,580471885009834,5185.86,6612.48,0
342,1020000000,612000000,down,580472142182260,5018.14,6524.99,0
343,612000000,1020000000,up,580472399162905,4923.0,6189.72,0
344,1020000000,612000000,down,580472655898328,4939.84,6408.61,0
345,612000000,1020000000,up,580472912815644,5137.41,6516.96,0
346,1020000000,612000000,down,580473169876995,4791.06,6299.55,0
347,612000000,1020000000,up,580473426634307,4812.47,6165.72,0
348,1020000000,612000000,down,580473683317249,4982.33,6261.85,0
349,612000000,1020000000,up,580473940186532,5030.43,6420.48,0
350,1020000000,612000000,down,580474197131689,4746.71,6015.48,0
351,612000000,1020000000,up,580474453596194,4739.19,5971.77,0
352,1020000000,612000000,down,580474710070908,4761.27,6167.61,0
353,612000000,1020000000,up,580474966737626,5066.24,6448.16,0
354,1020000000,612000000,down,580475223709344,4912.44,6220.41,0
355,612000000,1020000000,up,580475480429344,4811.38,6099.54,0
356,1020000000,612000000,down,580475737057181,4858.9,6148.95,0
357,612000000,1020000000,up,580475993715036,5074.53,6504.58,0
358,1020000000,612000000,down,580476250715011,5129.89,6620.84,0
359,612000000,1020000000,up,580476507897230,4866.59,6282.94,0
360,1020000000,612000000,down,580476764697329,4784.28,6075.7,0
361,612000000,1020000000,up,580477021344399,4956.89,6293.18,0
362,1020000000,612000000,down,580477278162386,4916.51,6308.6,0
363,612000000,1020000000,up,580477535017718,4899.58,6164.92,0
364,1020000000,612000000,down,580477791648660,4667.57,5965.97,0
365,612000000,1020000000,up,580478048154768,5438.22,6934.22,0
366,1020000000,612000000,down,580478305660516,5002.97,6495.43,0
367,612000000,1020000000,up,580478562720782,4951.0,6440.22,0
368,1020000000,612000000,down,580478819669461,5142.78,6547.04,0
369,612000000,1020000000,up,580479076740414,4932.12,6307.71,0
370,1020000000,612000000,down,580479333567106,5149.09,6574.08,0
371,612000000,1020000000,up,580479590699758,4833.82,6307.68,0
372,1020000000,612000000,down,580479847530162,5245.99,6633.51,0
373,612000000,1020000000,up,580480104745056,5083.58,6504.1,0
374,1020000000,612000000,down,580480361809290,4850.42,6312.73,0
375,612000000,1020000000,up,580480618741201,5448.33,6807.66,0
376,1020000000,612000000,down,580480876131012,5180.13,6557.28,0
377,612000000,1020000000,up,580481133075883,3537.08,4538.86,0
378,1020000000,612000000,down,580481388095363,4745.46,6000.76,0
379,612000000,1020000000,up,580481644616064,4931.64,6230.27,0
380,1020000000,612000000,down,580481901353282,5147.01,6913.74,0
381,612000000,1020000000,up,580482158785783,5438.89,6975.44,0
382,1020000000,612000000,down,580482416223947,4704.85,6004.12,0
383,612000000,1020000000,up,580482672744968,5042.85,6339.71,0
384,1020000000,612000000,down,580482929596942,4956.67,6325.34,0
385,612000000,1020000000,up,580483186562935,4903.74,6407.97,0
386,1020000000,612000000,down,580483443474943,5019.01,6381.22,0
387,612000000,1020000000,up,580483700139488,4763.26,6084.92,0
388,1020000000,612000000,down,580483956848131,5191.71,6667.24,0
389,612000000,1020000000,up,580484214076690,4883.1,6387.23,0
390,1020000000,612000000,down,580484470932953,4785.85,6177.53,0
391,612000000,1020000000,up,580484727556378,4767.19,5984.56,0
392,1020000000,612000000,down,580484984195995,5179.14,6681.8,0
393,612000000,1020000000,up,580485241554447,5085.41,6582.76,0
394,1020000000,612000000,down,580485498644219,4930.24,6464.29,0
395,612000000,1020000000,up,580485755619589,5005.47,6346.56,0
396,1020000000,612000000,down,580486012505197,5391.49,7020.53,0
397,612000000,1020000000,up,580486270082470,5053.76,6612.32,0
398,1020000000,612000000,down,580486527243125,5050.75,6536.64,0
399,612000000,1020000000,up,580486784330850,4778.3,6173.05,0
